车站,高铁计数,高德经纬度(缺240暂不分列）,,,,
阿巴嘎旗站,0,"114.950248,44.022995",,,114.950248,44.022995
阿城站,0,"126.994789,45.552036",,,126.994789,45.552036
阿尔山站,0,"119.948043,47.172209",,,119.948043,47.172209
阿尔山北站,0,"119.846516,47.291797",,,119.846516,47.291797
阿房宫站,17,"108.828209,34.269119",,,108.828209,34.269119
阿贵图站,0,"113.141479,41.784073",,,113.141479,41.784073
阿金站,0,"121.754883,42.043633",,,121.754883,42.043633
阿克苏站,0,"80.306321,41.145645",,,80.306321,41.145645
阿克陶站,0,"75.976511,39.165508",,,75.976511,39.165508
阿拉山口站,0,"82.572905,45.170899",,,82.572905,45.170899
阿勒泰站,0,"88.141253,47.844924",,,88.141253,47.844924
阿里河站,0, ,,,0,0
阿龙山站,0, ,,,0,0
阿木尔站,0,"123.162636,52.861450",,,123.162636,52.86145
阿南庄站,0,"101.816147,25.443258",,,101.816147,25.443258
阿图什站,0, ,,,0,0
阿乌尼站,0,"122.000710,51.945908",,,122.00071,51.945908
阿寨站,0,"96.415115,32.379871",,,96.415115,32.379871
埃岱站,0,"102.801140,29.026556",,,102.80114,29.026556
艾不盖站,0,"109.859642,41.529869",,,109.859642,41.529869
艾河站,0,"114.547806,39.393742",,,114.547806,39.393742
艾家村站,0,"105.765953,37.175076",,,105.765953,37.175076
爱河站,0,"129.699036,44.581367",,,129.699036,44.581367
安达站,35,"125.322660,46.402478",,,125.32266,46.402478
安德站,7,"103.811958,30.874285",,,103.811958,30.874285
安多站,0, ,,,0,0
安广站,5,"123.778549,45.575310",,,123.778549,45.57531
安化站,0,"111.099254,28.035310",,,111.099254,28.03531
安家站,0,"127.067871,45.052399",,,127.067871,45.052399
安靖站,12,"104.036934,30.736984",,,104.036934,30.736984
安康站,0,"109.017214,32.712616",,,109.017214,32.712616
安口窑站,0,"106.808846,35.234764",,,106.808846,35.234764
安陆站,12,"113.695902,31.257763",,,113.695902,31.257763
安平站,0, ,,,0,0
安庆站,52,"117.065379,30.549098",,,117.065379,30.549098
安庆沟站,0, ,,,0,0
安庆西站,0,"116.818997,30.762338",,,116.818997,30.762338
安仁站,0,"113.256278,26.769545",,,113.256278,26.769545
安顺站,0,"105.944096,26.229749",,,105.944096,26.229749
安顺西站,46,"105.872292,26.199886",,,105.872292,26.199886
安塘站,0,"111.708191,38.815819",,,111.708191,38.815819
安亭北站,11,"121.158585,31.314981",,,121.158585,31.314981
安图站,0,"128.908453,43.115586",,,128.908453,43.115586
安图西站,24,"128.894922,43.113594",,,128.894922,43.113594
安阳站,0,"114.340559,36.104710",,,114.340559,36.10471
安阳东站,83,"114.453569,36.084124",,,114.453569,36.084124
鞍山站,0,"122.986291,41.112653",,,122.986291,41.112653
鞍山西站,63,"122.915734,41.117906",,,122.915734,41.117906
昂昂溪站,0,"123.814617,47.162148",,,123.814617,47.162148
敖汉站,0,"120.153191,42.644505",,,120.153191,42.644505
敖来站,0,"121.157280,43.244156",,,121.15728,43.244156
敖力布告站,0,"123.023888,44.243645",,,123.023888,44.243645
敖头站,0,"114.561096,28.454973",,,114.561096,28.454973
鳌江站,53,"120.545891,27.625620",,,120.545891,27.62562
八方站,0,"124.786499,48.409168",,,124.786499,48.409168
八方山站,34,"112.934549,28.230352",,,112.934549,28.230352
八虎力站,0,"130.646194,46.334991",,,130.646194,46.334991
八面城站,0,"124.061554,43.209435",,,124.061554,43.209435
八面通站,0,"130.541870,44.926529",,,130.54187,44.926529
八苏木站,0,"112.848305,40.952824",,,112.848305,40.952824
八仙筒站,0,"121.063004,43.202175",,,121.063004,43.202175
巴楚站,0, ,,,0,0
巴东站,18,"110.357817,30.662827",,,110.357817,30.662827
巴林站,0,"122.333893,48.315174",,,122.333893,48.315174
巴日图站,0,"97.959808,30.274364",,,97.959808,30.274364
巴山站,0,"108.118584,32.256844",,,108.118584,32.256844
巴彦高勒站,0, ,,,0,0
巴彦郭勒站,0, ,,,0,0
巴中站,0,"106.765546,31.874175",,,106.765546,31.874175
坝梁站,0,"109.771301,41.091045",,,109.771301,41.091045
鲅鱼圈站,47,"122.094348,40.187940",,,122.094348,40.18794
霸州站,0,"116.375988,39.122308",,,116.375988,39.122308
霸州西站,30,"116.350292,39.093244",,,116.350292,39.093244
白壁关站,0,"111.721764,37.143185",,,111.721764,37.143185
白城站,14,"122.862886,45.617105",,,122.862886,45.617105
白沟站,26,"116.024239,39.120583",,,116.024239,39.120583
白果站,0,"102.604095,28.813572",,,102.604095,28.813572
白合站,0,"112.552925,34.856171",,,112.552925,34.856171
白河站,0,"110.115089,32.804642",,,110.115089,32.804642
白河东站,0,"110.115089,32.804642",,,110.115089,32.804642
白河县站,0, ,,,0,0
白桦排站,0,"124.194130,50.248142",,,124.19413,50.248142
白芨沟站,0,"106.141205,39.119083",,,106.141205,39.119083
白鸡坡站,0,"104.806839,26.438189",,,104.806839,26.438189
白涧站,0,"115.288948,39.646488",,,115.288948,39.646488
白奎堡站,0,"127.003723,46.371250",,,127.003723,46.37125
白狼站,0,"120.107971,47.055698",,,120.107971,47.055698
白马井站,21,"110.673195,22.340151",,,110.673195,22.340151
白旗站,0,"117.672348,41.158985",,,117.672348,41.158985
白泉站,0,"122.157021,30.066101",,,122.157021,30.066101
白沙坡站,0, ,,,0,0
